region,year,invest_total_mln_rub,sports_facilities_count,sports_facilities_per_10k_rural_pop,sports_schools_count,retail_shops_count,retail_shops_per_10k_rural_pop,catering_units_count,catering_units_per_10k_rural_pop,service_units_count,service_units_per_10k_rural_pop,household_service_points_count,household_service_points_per_10k_rural_pop,post_offices_count,post_offices_per_10k_rural_pop,housing_input_total_thousand_m2,housing_input_individual_share_percent,waste_removal_objects_count,container_sites_count,length_streets_total_km,length_streets_hard_surface_km,length_local_roads_km,length_hard_surface_roads_km,natural_resource_enterprises_count,natural_resource_enterprises_per_10k_rural_pop,fixed_assets_total_mln_rub,fixed_assets_per_capita_rub,housing_stock_total,housing_stock_per_capita,infrastructure_stock_total,infrastructure_stock_per_capita,health_facilities_count,health_facilities_per_10k_rural_pop,tourist_beds_count,tourist_beds_per_10k_rural_pop
87000000000 - Республика Коми,2023,,,,,,,,,,,,,,,,,,,,,,,158.0,83.0,,,,,,,,,,
88000000000 - Республика Марий Эл,2023,,,,,,,,,,,,,,,,,,,,,,,156.0,67.0,,,,,,,,,,
89000000000 - Республика Мордовия,2023,,,,,,,,,,,,,,,,,,,,,,,112.0,45.0,,,,,,,,,,
90000000000 - Республика Северная Осетия-Алания,2023,,,,,,,,,,,,,,,,,,,,,,,93.0,85.0,,,,,,,,,,
91000000000 - Карачаево-Черкесская Республика,2023,,,,,,,,,,,,,,,,,,,,,,,103.0,82.0,,,,,,,,,,
92000000000 - Республика Татарстан (Татарстан),2023,,,,,,,,,,,,,,,,,,,,,,,891.0,655.0,,,,,,,,,,
93000000000 - Республика Тыва,2023,,,,,,,,,,,,,,,,,,,,,,,151.0,118.0,,,,,,,,,,
95000000000 - Республика Хакасия,2023,,,,,,,,,,,,,,,,,,,,,,,143.0,70.0,,,,,,,,,,
96000000000 - Чеченская Республика,2023,,,,,,,,,,,,,,,,,,,,,,,293.0,292.0,,,,,,,,,,
98000000000 - Республика Саха (Якутия),2023,,,,,,,,,,,,,,,,,,,,,,,470.0,289.0,,,,,,,,,,
99000000000 - Еврейская автономная область,2023,,,,,,,,,,,,,,,,,,,,,,,36.0,23.0,,,,,,,,,,
Алтайский край,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.0,5892.0
Алтайский край,2022,577071.0,3328.0,3205.0,36.0,,,127.0,4699.0,,,31.0,1.0,1494.0,1454.0,216485.0,,1415.55,183.97,20163.2,3512.1,31059.8,15077.8,388.0,93.0,42.0,597.0,1252.0,23278.0,454.0,8172.0,1074.0,,295.0,5796.0
Алтайский край,2023,553333.0,,,,,,,,,,,,,,,,,,,,31078.8,15083.6,,,42.0,597.0,1252.0,23278.0,454.0,8172.0,,,330.0,6803.0
Алтайский край,2024,656641.0,3303.0,3184.0,35.0,,,,,,,12.0,1.0,,,,,1447.2788,170.6622,20057.8,4155.56,30039.4,13875.0,366.0,25368.0,,,,,,,1048.0,,334.0,7095.0
Амурская область,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,412.0
Амурская область,2022,790392.0,1216.0,1191.0,8.0,,,50.0,1638.0,,,6.0,,515.0,435.0,146303.0,,487.17,108.03,4536.9,1981.5,5743.7,3405.3,129.0,37.0,149.0,1217.0,1785.0,59175.0,744.0,33741.0,357.0,,19.0,315.0
Амурская область,2023,92982.0,,,,,,,,,,,,,,,,,,,,5026.4,3408.1,,,149.0,1217.0,1785.0,59175.0,744.0,33741.0,,,52.0,606.0
Амурская область,2024,209854.0,1338.0,1304.0,9.0,,,,,,,23.0,2.0,,,,,699.0617,144.526,4887.5,2304.163,4966.6,3325.1,55.0,2083.0,,,,,,,347.0,,61.0,784.0
Архангельская область,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,1134.0
Архангельская область,2022,342896.0,922.0,821.0,8.0,,,27.0,1049.0,,,37.0,4.0,3316.0,2680.0,129785.0,,626.78,93.45,5689.0,3004.6,9749.7,3196.1,46.0,13.0,42.0,555.0,1828.0,23274.0,750.0,9503.0,550.0,,48.0,990.0
Архангельская область,2023,89438.0,,,,,,,,,,,,,,,,,,,,9746.1,3187.5,,,42.0,555.0,1828.0,23274.0,750.0,9503.0,,,92.0,1558.0
Архангельская область,2024,48354.0,913.0,807.0,8.0,,,,,,,39.0,1.0,,,,,782.65,90.48,6071.9,3168.8,9618.3,3195.7,34.0,1645.0,,,,,,,524.0,,94.0,1617.0
